[00:00:00] OpenAI很多这个model release（模型发布）
[00:00:01] 都有我的名字
[00:02:36] 能不能给我讲讲你
[00:02:38] 你觉得你小时候是一个什么样的小孩
[00:02:41] 我小时候特别喜欢学奥数
[00:02:44] 奥数
[00:02:44] 我从一年级就开始学奥数
[00:02:48] 就是因为开始的时候
[00:02:52] 我爸妈让我去听了
[00:02:53] 这个进修校的一个奥数课
[00:02:56] 跟语文课
[00:02:57] 然后我对语文完全不感兴趣
[00:02:58] 但是我对奥数就非常感兴趣
[00:03:00] 然后我就进去了
[00:03:01] 然后从一年级开始就一直上到六年级
[00:03:05] 然后初中也是
[00:03:06] 然后我发现
[00:03:08] 就是我做数学题做的比谁都快
[00:03:10] 小学的时候
[00:03:11] 对小学的时候就是
[00:03:12] 比如说别人口算题
[00:03:14] 像二年级的时候
[00:03:15] 口算题可能还没做完
[00:03:16] 就可能写到一半
[00:03:18] 然后我就已经做完了
[00:03:19] 就是那种不用过脑子的
[00:03:22] 可能用现在时髦话说就是System 1
[00:03:25] 对直接表层意识直接过
[00:03:28] 然后直接看一眼出来答案那种
[00:03:30] 然后就是这个
[00:03:33] 让我做数学题非常有成就感
[00:03:36] 因为我觉得我是一个
[00:03:37] 就是学习还算相比于其他人
[00:03:42] 算比较偏慢的人
[00:03:43] 怎么说呢就是
[00:03:46] 学一个新的东西
[00:03:47] 我经常要花别人2到3倍的时间
[00:03:51] 但现在其实还是这样
[00:03:52] 就是比如说我读一段代码
[00:03:53] 我就是要比别人花很多的时间去理解
[00:03:56] 这整个
[00:03:58] 整个内容
[00:03:59] 整个context（上下文）
[00:04:02] 但是我一旦理解之后
[00:04:03] 我用的就非常快
[00:04:05] 有个不太恰当的例子
[00:04:09] 就是比如说我
[00:04:11] 我这个小时候经常不是要背书吗
[00:04:13] 背一个课文
[00:04:14] 然后我就是在睡觉之前
[00:04:18] 我想尽所有方法
[00:04:21] 然后能够磕磕巴巴的就是
[00:04:25] 完整的背出来
[00:04:27] 然后哪怕有很多停顿
[00:04:29] 然后你只要想起来都好
[00:04:30] 然后睡一觉
[00:04:31] 然后第二天醒来发现这个倒背如流
[00:04:35] 我当时想法是
[00:04:36] 就是因为我需要花更多的时间
[00:04:39] 所以说我需要比别人提前学东西
[00:04:43] 所以当时我就是在
[00:04:48] 初中的时候开始上高中数学
[00:04:50] 然后就是
[00:04:51] 直接问这个初中的数学老师
[00:04:53] 各种高中数学的一些问题
[00:04:55] 然后他也非常热心回答我
[00:04:58] 然后我也非常感激
[00:05:00] 初二的时候
[00:05:00] 就已经把高中啃完了
[00:05:02] 然后初三就开始学微积分
[00:05:04] 数学你天生
[00:05:06] 你就觉得你做的快
[00:05:08] 然后比别人都快
[00:05:11] 但同时呢
[00:05:11] 你又觉得你学东西慢
[00:05:13] 我感觉应该就是
[00:05:15] 我需要更长的时间构建我的知识树
[00:05:18] 就是正常来说
[00:05:21] 这个知识树是比如说有个根
[00:05:23] 然后往上拓展
[00:05:25] 然后再往上拓展
[00:05:26] 再往上拓展
[00:05:26] 然后好几层
[00:05:27] 然后你每次比如说拿这个最顶层的
[00:05:31] 这个结论去应用到这道题当中
[00:05:35] 然后你要从头到尾过一遍
[00:05:36] 然后你要慢慢慢慢想出来
[00:05:38] 但我可能就直接建立一个链接shortcut（捷径）
[00:05:41] 然后直接上去
[00:05:42] 然后就不用反应了
[00:05:43] 所以你是从小就意识到
[00:05:46] 我好像比别人更聪明
[00:05:48] 没有
[00:05:49] 没有这种感觉
[00:05:50] 没有
[00:05:51] 所以你只是说
[00:05:53] 你好像你只是觉得你对这事感兴趣
[00:05:56] 那你愿意提前学数学这个事的
[00:05:59] 这个里面的核心兴趣是哪来的
[00:06:02] 我想投资未来
[00:06:05] 我想投资我自己的未来
[00:06:07] 所以你在初二的时候你就意识到
[00:06:10] 我这个时候提前学高中数学
[00:06:12] 是一种投资未来
[00:06:13] 对
[00:06:14] 对于我的未来的一些学习生涯
[00:06:16] 是有帮助的
[00:06:18] 与其说
[00:06:19] 我现在浪费时间在这个刷题上面
[00:06:22] 那不如学一点对未来有用的东西
[00:06:25] 然后后面的收益可能更多
[00:06:27] 这个是你父母跟你讲过类似的
[00:06:30] 不是
[00:06:31] 我父母无所谓
[00:06:33] 我父母就根本
[00:06:35] 不是怎么关心我是怎么学的
[00:06:38] 但我还是特好奇
[00:06:39] 为什么你初中的时候
[00:06:41] 就有投资未来的这种想法
[00:06:43] 因为你
[00:06:43] 我相信你那时候肯定学有余力
[00:06:45] 对吧
[00:06:46] 你为什么不去玩
[00:06:48] 为什么不去打篮球打游戏
[00:06:49] 你为什么想的我要学高中数学
[00:06:50] 我要怎么怎么样
[00:06:51] 首先是因为对这个感兴趣
[00:06:54] 就是我觉得这个
[00:06:57] 这个初等数学太无趣了
[00:06:59] 然后这个稍微怎么说
[00:07:03] 稍微有意思一点的数学更
[00:07:07] 能引起我的兴趣
[00:07:08] 那是谁让你有了这种兴趣
[00:07:10] 是天生的吗
[00:07:11] 对数学
[00:07:12] 可以算是吧
[00:07:14] 或者说你
[00:07:15] 还是说是小学的时候
[00:07:16] 你因为这事有成就感
[00:07:18] 所以你就
[00:07:19] 你可以这么认为
[00:07:20] 就是有一个初始的成就感
[00:07:21] 然后初始的reward（奖励）
[00:07:24] 然后慢慢的
[00:07:25] 然后你就会慢慢把这个
[00:07:27] 你数学这方面的这个技能树
[00:07:29] 慢慢开始点
[00:07:30] 因为你每点一次你都会有个正反馈
[00:07:33] 然后再点一次
[00:07:34] 再有正反馈
[00:07:35] 然后你就会一直在这个上面走
[00:07:37] 但像比如说打篮球
[00:07:39] 我试过
[00:07:39] 但是没有什么正反馈
[00:07:41] 就是我经常被我舍友这个按着打
[00:07:45] 然后体育
[00:07:48] 我练过跆拳道
[00:07:49] 我觉得跆拳道还可以
[00:07:51] 但是这个跆拳道一打实战
[00:07:52] 我就被对手揍着打
[00:07:56] 所以反而是这种正反馈
[00:07:58] 你本身也擅长
[00:07:59] 然后你对这个也不排斥
[00:08:00] 慢慢慢慢就变成了一种自发的
[00:08:02] 内生的兴趣了
[00:08:03] 对
[00:08:05] 所以其实倒不是家庭环境
[00:08:07] 而是就是你自发而产生的
[00:08:10] 那这是数学
[00:08:11] 你初中的时候提前学高中的数学
[00:08:13] 那你高中的时候
[00:08:14] 为什么又对编程产生了兴趣呢
[00:08:15] 我编程是初一开始的
[00:08:19] 对初一
[00:08:20] 编程初一开始
[00:08:21] 是因为那个
[00:08:22] 就是小升初的时候
[00:08:23] 我去了时代中学
[00:08:24] 然后他是一个私立校
[00:08:26] 然后但是私立校的话
[00:08:27] 有一个这个编程兴趣班
[00:08:29] 然后我
[00:08:31] 然后就报着玩
[00:08:34] 我能理解
[00:08:35] 高中有信息学竞赛
[00:08:36] 但其实初中搞编程
[00:08:38] 应该对升学没有太多用对不对
[00:08:41] 是的是的
[00:08:41] 没有太多用
[00:08:42] 那这个事儿也是你自己找的兴趣班
[00:08:44] 还是你父母给你找的
[00:08:45] 我父母觉得这个可能对我挺有意思的
[00:08:49] 然后我就试了试
[00:08:51] 然后我觉得还可以
[00:08:53] 好那我们聊你高中
[00:08:56] 高中我觉得其实我最感兴趣的是
[00:08:59] OI省选NOI的经历
[00:09:01] 能给我们讲讲吗
[00:09:02] 为什么要搞竞赛呢
[00:09:03] 因为升学压力还是有的
[00:09:07] 你如果不搞竞赛
[00:09:08] 那这个对于非北京的人员来说
[00:09:12] 想上清华北大是非常难的
[00:09:14] 这个难如登天
[00:09:15] 所以当时是因为升学压力搞的OI
[00:09:17] 是的是的
[00:09:18] 大部分是因为升学压力
[00:09:21] 因为我之前就已经在搞数学竞赛跟OI了
[00:09:25] 然后我高一的时候
[00:09:26] 其实花了一点时间去做数学竞赛
[00:09:30] 拿到了一些还可以的名次
[00:09:32] 但是如果再往上的话
[00:09:33] 就是省选
[00:09:36] 数学竞赛的省选
[00:09:37] 然后我们学校是没有那个基础的
[00:09:39] 然后自己学也很困难
[00:09:41] 所以说我就放弃了
[00:09:43] 并且我对这个再往上的这个
[00:09:45] 就省选往上的数学题
[00:09:48] 我觉得我非常困难
[00:09:50] 因为我没有那么早的去接触
[00:09:52] 然后我觉得学习起来非常累
[00:09:54] 你觉得你哪怕初中就开始学高中数学
[00:09:56] 都不够早
[00:09:57] 初中开始学高中数学竞赛
[00:10:00] 可能够早一点
[00:10:02] 就是我没有那么提前
[00:10:05] 所以说我掂量一下
[00:10:06] 还是放弃了
[00:10:07] 你就是搞OI
[00:10:08] 信息学竞赛
[00:10:09] 搞OI了
[00:10:10] 能给我们介绍一下
[00:10:11] 就是靠信息学竞赛
[00:10:14] 然后升学
[00:10:15] 这个一般是要经过什么什么步骤
[00:10:17] 先省选然后是什么样的流程
[00:10:19] 先NOIP然后就是相当于一个普及组
[00:10:23] 呃不是提高组
[00:10:24] NOIP提高组的一个
[00:10:26] 这个省里面的一个选拔赛
[00:10:28] 差不多是十月
[00:10:29] 然后后面是
[00:10:30] 弄完是每个省都有
[00:10:33] 每个省不同的选拔标准
[00:10:35] 要选出来省队去参加国赛
[00:10:37] 然后省选的话
[00:10:39] 福建是有两轮
[00:10:41] 一轮在寒假
[00:10:43] 然后还有一轮在4月份
[00:10:45] 然后选完之后
[00:10:47] 然后就是五六月
[00:10:49] 应该有一个清华或者北大夏令营
[00:10:52] 可以二选一
[00:10:54] 可以拿一些这个优惠条件
[00:10:55] 至少当时是这样的
[00:10:57] 然后是在7月到8月去搞NOI的这个国赛
[00:11:03] 那给我们讲讲你在这个过程中啊
[00:11:06] 是怎么样的
[00:11:07] 第一轮第二轮第三轮
[00:11:08] 这个NOIP还好吧
[00:11:09] 这个NOIP就是已经
[00:11:12] 因为这个从初中开始搞的
[00:11:15] 所以说还好
[00:11:16] 然后省选
[00:11:17] 省选
[00:11:18] 这个高一的时候就是连省选都没过
[00:11:21] 就是完全不会做
[00:11:23] 几乎不会做
[00:11:23] 然后高二的时候会做一点点
[00:11:26] 就是会乱搞
[00:11:27] 然后会一些这个
[00:11:30] 这个heuristic（启发式）方法
[00:11:32] 就比如说这个
[00:11:32] 有一题叫
[00:11:33] 这个最小双圆覆盖
[00:11:35] 然后我当时搞出来70分
[00:11:36] 我刚开始好像是全场最高
[00:11:38] 因为我做出来这一题
[00:11:40] 后面就是进了省队
[00:11:42] 但是进完省队之后就是
[00:11:46] 后面的就是清华夏令营
[00:11:49] 感觉还可以
[00:11:50] 就是拿到一个降60（分录取）
[00:11:52] 无条件降60（分录取）
[00:11:53] 有条件本一线（录取）
[00:11:55] 这个怎么理解
[00:11:56] 就是高考的成绩直接会给你加60（分）
[00:12:00] 如果你没有保送的话
[00:12:02] 然后
[00:12:04] 如果这个线过了清华当年的录取线
[00:12:07] 那么清华就会要你
[00:12:09] 然后有条件本一
[00:12:10] 是说如果在NOI比赛里面
[00:12:15] 考到了前150名
[00:12:18] 应该是银牌的线
[00:12:20] 那么就有本一
[00:12:22] 如果你只要高考的成绩过了本一
[00:12:25] 那么就无条件录取
[00:12:27] 但是如果你是金牌的话
[00:12:28] 那你就连这个都不用了
[00:12:30] 你直接保送
[00:12:30] 你当时拿到NOI的那个有条件本一了吗
[00:12:33] unfortunately（不幸的是）没有
[00:12:36] 因为这个是
[00:12:38] 又是一个黑历史了
[00:12:39] 就是我是当时的福建省队的倒数第一
[00:12:44] 福建省内就只有当年只有一个铜牌
[00:12:47] 就是我
[00:12:49] 然后剩下的人都银牌以上
[00:12:50] 这事儿的失利对你的升学有影响吗
[00:12:53] 当时
[00:12:54] 还是有挺多影响的
[00:12:55] 因为我当时毕竟高二下半年
[00:12:58] 没有搞文化课
[00:13:00] 然后我对于我的未来也不是很确定
[00:13:02] 我不知道我
[00:13:03] 到底能高考考多少分
[00:13:05] 有些之前的例子
[00:13:08] 比如说像有学长
[00:13:12] 就是把60分加分全部用完了
[00:13:14] 然后就真的是一点都不剩
[00:13:17] 然后我觉得这个万一我也这样怎么办
[00:13:20] 就很危险
[00:13:22] 然后我对于这种不确定性非常害怕
[00:13:25] 但是想了想
[00:13:27] 我觉得
[00:13:29] 我应该也没有那么差了
[00:13:30] 然后还是就咬牙选了降60（分录取清华）
[00:13:35] 所以你当时另外一个选择是更保险一点的
[00:13:37] 更保险的一点的就是直接可以在
[00:13:41] NOI现场
[00:13:42] 然后签一个上海交大的本一线录取
[00:13:45] 所以当时这个是一个
[00:13:46] 很艰难的决定吗
[00:13:48] 也还好吧
[00:13:50] 就是主要是
[00:13:52] 首先心态方面
[00:13:53] 这个当时毕竟很难过
[00:13:56] 然后对未来不确定性
[00:13:59] 就是自己感到很害怕
[00:14:02] 然后但是这个家人鼓励
[00:14:04] 还是让我选择了这个
[00:14:07] 选这个清华（降）60（分录取）
[00:14:09] 那当时是不是弄完OI
[00:14:12] 搞完竞赛之后
[00:14:13] 到高三你就不碰这些东西了
[00:14:14] 就all in（全力以赴）高考
[00:14:15] 也没有
[00:14:16] 就是会可能会偷偷的碰
[00:14:18] 就是像比如说
[00:14:21] 我觉得我对这个代码的优化
[00:14:23] 有特别的追求
[00:14:24] 就是我会
[00:14:27] 我当时甚至练成了
[00:14:28] 就是比如说在iPad上面直接
[00:14:33] 因为Safari（苹果自带浏览器）它是没有代码编译器的
[00:14:36] 然后我就直接这个用iPad键盘
[00:14:38] 直接裸打代码
[00:14:40] 然后直接交
[00:14:41] 然后没有编译
[00:14:42] 然后那一段的经历
[00:14:45] 其实我觉得也很锻炼自己的思考能力
[00:14:48] 因为他需要你对于整个题目
[00:14:52] 或者整个逻辑有个完整的认知
[00:14:55] 然后哪里错了
[00:14:56] 你要能快速的定位到是哪里错了
[00:15:00] 然后他会很锻炼你的这个反应能力的
[00:15:04] 然后我觉得这个对于我来说
[00:15:06] 是一个很好的锻炼
[00:15:08] 但对你来说
[00:15:09] 当时其实不需要这种锻炼
[00:15:11] 是的是的
[00:15:12] 这个是
[00:15:12] 只不过这就是自己很感兴趣
[00:15:15] 就比如说当时这个OI
[00:15:16] 还有一个叫常数优化
[00:15:19] 就比如说这个
[00:15:20] 有一个算法
[00:15:21] 这个虽然时间复杂度可能都是N平方
[00:15:25] 然后但是这个实际的
[00:15:26] 它的这个前面是带了一个常数的
[00:15:29] 然后这个OI的
[00:15:31] 这个评测都是会有这个结果
[00:15:33] 就比如说
[00:15:33] 按照这个跑测试点的时间来排序
[00:15:38] 然后跑的最快的
[00:15:39] 那么就排第一
[00:15:41] 然后如果跑一样快呢
[00:15:42] 按照代码长度的长短
[00:15:45] 然后所以说
[00:15:45] 这个我会同时optimize（优化）这两个指标
[00:15:49] 然后这个刷这个东西就感觉很有意思
[00:15:52] 虽然说没什么用
[00:15:53] 但是很有意思
[00:15:56] 你真是搞这个的圣体
[00:15:58] 因为你真喜欢这个东西是吧
[00:16:00] 你从中可能获得快乐
[00:16:02] 对
[00:16:03] 那我们来聊聊清华啊
[00:16:05] 如果我跟你说
[00:16:06] 你在清华16年开始读本科
[00:16:10] 你直接跟我说
[00:16:11] 有没有什么现在想起来哇
[00:16:13] 特别
[00:16:14] 比如说大一大二刚进去值得回忆的事
[00:16:16] 第一个浮上你脑海的是什么
[00:16:19] 真有的话
[00:16:19] 就是我把我所有的作业都开源了
[00:16:24] 因为不同的人对这件事情有不同看法
[00:16:28] 像比如说
[00:16:29] 有些学长学姐是比较反对这件事的
[00:16:32] 但是我觉得我应该做这件事
[00:16:34] 我当时做一个
[00:16:35] 把这个我所收集到的所有的
[00:16:39] 这个上古作业
[00:16:41] 上古材料
[00:16:42] 然后全部在GitHub上开源了
[00:16:46] 除了那些有版权问题的我没开源
[00:16:48] 然后剩下的没有版权问题的都开源了
[00:16:52] 为什么
[00:16:53] 因为我觉得应该打破信息差
[00:16:56] 信息差是一个
[00:16:57] 就是如果你在清华生存的话
[00:16:59] 是一个很有用的东西
[00:17:01] 但是我觉得
[00:17:02] 每个人都应该平等的拥有这个信息
[00:17:05] 你现在回去
[00:17:07] 你现在回去随便抓一个计算机的学弟问
[00:17:11] 问这个
[00:17:13] 你认不认识这个捐这个新系楼的人
[00:17:17] 哪怕他把他的名字放在系楼上面
[00:17:20] 你认不认识他
[00:17:22] 不认识
[00:17:23] 你认不认识翁家翌
[00:17:26] 应该认识
[00:17:27] 因为毕竟这个大家都看我的作业活的
[00:17:31] 哈哈哈
[00:17:31] 这个比捐
[00:17:33] 比这个捐楼有用
[00:17:35] 哈哈哈
[00:17:38] 此处弹幕应该闪过
[00:17:39] +1 如果我用过看过你的作业
[00:17:42] 就应该在这时候发个弹幕了啊
[00:17:46] 但为什么
[00:17:46] 为什么你会把你的作业开源
[00:17:47] 这里面本质为什么和信息差有关系
[00:17:50] 我想打破这个信息差
[00:17:52] 就是我不想让后人重蹈覆辙
[00:17:56] 就是经常疲于奔命
[00:17:58] 就是很多人
[00:17:59] 其实他不是很擅长搜集东西
[00:18:02] 但是他其实很有能力的
[00:18:04] 但其实
[00:18:06] 就如果能够给这些人
[00:18:08] 有一个信息平权的机会的话
[00:18:10] 那他可能在清华会活得更好
[00:18:12] 所以你的信息平权是指
[00:18:14] 知不知道往年的作业这种信息
[00:18:17] 和学长学姐问过以前会考什么重点
[00:18:20] 这种信息
[00:18:20] 以及作业
[00:18:22] 以及
[00:18:22] 老师没有规定不能放出来的作业
[00:18:26] 不然的话
[00:18:27] 你会经常会花可能十几二十个小时
[00:18:30] 然后你又不敢问助教
[00:18:33] 然后你就不知道怎么做
[00:18:35] 然后你就会花一些巨大块的时间
[00:18:41] 然后去一直在钻牛角尖
[00:18:44] 然后
[00:18:45] 反而对整个学习是很没有帮助的
[00:18:48] 收益很低
[00:18:51] 但这样的话就是
[00:18:52] 如果我当时觉得
[00:18:54] 如果我把我自己的作业开源的话
[00:18:56] 那么我可能会帮到一些这样的例子
[00:19:00] 然后可能会帮后面更多的一些学弟学妹
[00:19:05] 拥有更多自己的时间
[00:19:06] 来去做他们更想做的事情
[00:19:08] 而不是you know
[00:19:10] 就是做这些
[00:19:12] 比较浪费生命的事
[00:19:14] 所以你这事做成了
[00:19:16] 现在你的作业应该在清华
[00:19:17] 已经成为一个很广为流传的Github Repo（代码库）
[00:19:20] 啊是的
[00:19:24] 那这个之外呢
[00:19:25] 我看到你应该
[00:19:26] 大一大二大三
[00:19:28] 多久开始入门科研啊这些什么
[00:19:30] 什么时候开始的
[00:19:31] 这个应该是大二吧
[00:19:35] 然后后面就是
[00:19:37] 就是问学长说
[00:19:39] 这个有没有哪个推荐的实验室
[00:19:42] 当时有
[00:19:44] 就学长跟我说三个名字
[00:19:47] 朱军老师
[00:19:49] 然后唐杰老师
[00:19:50] 还有崔鹏老师
[00:19:51] 我默认这个按排序
[00:19:53] 按照每个人牛逼程度排序
[00:19:56] 当然可能不是这样的
[00:19:57] 但是我当时就是按照这个排序
[00:19:59] 然后就你以为先后顺序是
[00:20:01] 对我以为先后顺序
[00:20:02] 然后
[00:20:03] 就报了一个计算机的学术新星计划
[00:20:06] 然后后面就是应该是全录取了
[00:20:09] 然后我就选了朱军老师
[00:20:10] 然后大二的时候就跟朱军老师
[00:20:14] 就是先见了一面
[00:20:15] 然后就是问说有什么方向
[00:20:19] 有三个方向
[00:20:23] 贝叶斯
[00:20:26] 对抗生成网络 (GAN)
[00:20:28] 还有一个强化学习
[00:20:31] 就是三个方向
[00:20:32] 然后我当时其实想搞的是GAN（生成式对抗网络）
[00:20:35] 我觉得这个这个图像（生成）非常有意思
[00:20:37] 但是我不知道哪个（方向）是GAN
[00:20:40] 然后我就选了RL（强化学习）
[00:20:41] 什么叫不知道哪个是GAN（生成对抗网络）
[00:20:42] 我当时真的什么都不知道
[00:20:44] 我就是个小白
[00:20:46] 然后我就误打误撞选了RL（强化学习）
[00:20:47] 没有什么特别的
[00:20:48] 就是我觉得
[00:20:49] 我觉得RL（强化学习）应该是搞那个图像的东西
[00:20:52] 就这样对
[00:20:54] 所以是个相当random（随机的选择）
[00:20:55] 对是的是的是的
[00:20:56] 但是后面搞RL（强化学习）
[00:20:58] 发现这个是个打游戏的东西
[00:21:01] 嗯
[00:21:02] 觉得挺有意思的
[00:21:03] 然后就一直搞下去了
[00:21:06] 但是实际上
[00:21:08] 就是我最开始想法是
[00:21:11] 我其实有三个大的方向
[00:21:13] 我其实都挺喜欢的
[00:21:15] 一个是人工智能
[00:21:16] 就是AI
[00:21:17] 然后另外一个是图形学
[00:21:20] 还有一个是网络安全
[00:21:24] 网络安全
[00:21:25] 我觉得这个hacker（黑客）非常酷
[00:21:27] 那我在大学的时候
[00:21:28] 其实业余时间
[00:21:29] 也搞了很多网络安全的相关的东西
[00:21:32] 然后还给学校修了不少的
[00:21:35] 这个校园网的bug
[00:21:36] 比如说
[00:21:37] 比如说这个
[00:21:39] 修了一下这个
[00:21:41] 这个免费下成绩单的这个
[00:21:43] 一分钱下成绩单的这个事
[00:21:45] 就是成绩单下一次要这个十块钱
[00:21:48] 就是我跟另外一个学长
[00:21:49] 发现了一个bug
[00:21:50] 然后然后
[00:21:53] 就是可以一分钱
[00:21:54] 也可以不要钱下载
[00:21:55] 然后后面就是
[00:21:57] 下载几次之后
[00:21:58] 然后把这个bug给修了
[00:22:00] 对
[00:22:01] 就是直接反馈给这个学校教务部门
[00:22:03] 所以你是很享受这种hacking（破解）的过程
[00:22:05] 网安是一种haking（破解）
[00:22:07] 其他的呢
[00:22:08] 图形学的话
[00:22:09] 我感觉也是个haking（破解）
[00:22:10] 对现实世界的haking（破解）
[00:22:12] 就是你可以自己的视角
[00:22:15] 去构建你脑中想象的场景
[00:22:19] 然后这样会让你觉得你是上帝
[00:22:22] 你是神
[00:22:23] 我其实当时最感兴趣的还是图形学
[00:22:26] 因为我
[00:22:27] 我在初中的时候看过一个电影
[00:22:29] 叫TRON
[00:22:34] 那个什么《创：战纪》的那个
[00:22:37] 那个他是一个科幻片
[00:22:41] 然后他的那个电影特效就非常厉害
[00:22:44] 然后就把我当时看的非常震撼
[00:22:48] 然后我
[00:22:49] 我想如果有一天我能做出这种特效
[00:22:53] 或者说我可以像TRON这样
[00:22:56] 构建一个自己的虚拟世界
[00:22:58] 那是就是我
[00:23:01] 我觉得我就圆满了
[00:23:04] 对然后我觉得
[00:23:05] 图形学是实现这个的一种手段
[00:23:08] 对然后
[00:23:08] 所以说我当时就特别感兴趣图形学
[00:23:11] 然后我在大二的时候就上图形学
[00:23:15] 然后我当时就是因为特别喜欢
[00:23:19] 所以说
[00:23:19] 我花特别多时间去做图形学的大作业
[00:23:24] 然后当时应该是拿了
[00:23:28] 全班唯一唯二的A+
[00:23:32] 然后发明了一个新算法
[00:23:34] 能够减少这个迭代的
[00:23:37] 这个收敛的次数
[00:23:39] 以及这个用了一堆的这个算力来跑了
[00:23:44] 就渲染一个巨高清的图
[00:23:47] 就应该16K的图
[00:23:48] 然后当时就是在我之前
[00:23:52] 是完全没有人渲染一个16K的图的
[00:23:55] 然后并且16K的图完全没有噪点
[00:23:59] 那当时那么感兴趣图形学
[00:24:01] 后来继续下去了吗
[00:24:03] 没有
[00:24:04] 因为我觉得就是如果你要搞科研的话
[00:24:08] 那还是专心比较好
[00:24:11] 不能这个脚踩两条船
[00:24:13] 因为你当时已经去对朱军老师那儿了
[00:24:15] 我已经去朱军老师那儿了
[00:24:17] 有个项目是搞那个
[00:24:20] VizDoom
[00:24:21] 就是一个
[00:24:22] Doom是一个差不多90年代一个游戏
[00:24:26] 然后当时是有一个比赛
[00:24:28] 想把这个
[00:24:30] 用一个神经网络来去
[00:24:32] 在一个固定的地图里面
[00:24:34] 然后把这个游戏打通关
[00:24:36] 就是有个出生点
[00:24:38] 有个终点
[00:24:39] 然后你要去在这个地图里面去杀怪
[00:24:43] 然后去捡血包
[00:24:44] 然后避障
[00:24:46] 然后去最终到这个终点
[00:24:49] 然后去通关
[00:24:50] 所以这个其实是你强化学习的入门
[00:24:53] 第一个project（项目）
[00:24:53] 是的
[00:24:54] 拿了冠军
[00:24:55] 是的
[00:24:56] 所以当时你是很享受做强化学习科研的
[00:24:58] 没有
[00:24:59] 为什么
[00:25:00] 很不享受
[00:25:01] 因为这个
[00:25:03] 因为首先
[00:25:04] 这个task这个环境
[00:25:07] 太过于单一了
[00:25:08] 然后你要疯狂的去overfit（过拟合）
[00:25:10] 然后
[00:25:12] 就是就是
[00:25:13] 你要用各种各种技巧
[00:25:15] 防止他训练的时候崩了
[00:25:19] 以及你即使训练没崩
[00:25:21] 然后你也不知道你怎么调参才能调对
